name,price,color,mileage,brand,model,location,date_displayed,transmission,air_conditioner,power_steering,remote_control,item_url,year,log_price,car_age,km_per_year,search_text
Mitsubishi Eclipse Cross 2019,650000.0,White,90000.0,Mitsubishi,Eclipse Cross,Beheira,2024-02-12,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mitsubishi/Eclipse-Cross/6273248,2019.0,13.384729180332174,7.0,12857.142857142857,brand Mitsubishi model Eclipse Cross name Mitsubishi Eclipse Cross 2019 location Beheira color White transmission Automatic
Hyundai IX 35 2016,1050000.0,Silver,140000.0,Hyundai,IX 35,Dakahlia,2024-02-12,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/IX-35/6273065,2016.0,13.864301674514206,10.0,14000.0,brand Hyundai model IX 35 name Hyundai IX 35 2016 location Dakahlia color Silver transmission Automatic
Chery Arrizo 5 2023,950000.0,Red,,Chery,Arrizo 5,Maadi,2024-02-12,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chery/Arrizo-5/6267336,2023.0,13.76421831620775,3.0,,brand Chery model Arrizo 5 name Chery Arrizo 5 2023 location Maadi color Red transmission Automatic
Nissan Sunny 2023,870000.0,Gray,2000.0,Nissan,Sunny,Alexandria,2024-02-12,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6267330,2023.0,13.676249640055394,3.0,666.6666666666666,brand Nissan model Sunny name Nissan Sunny 2023 location Alexandria color Gray transmission Automatic
Hyundai Accent RB 2012,510000.0,Bronze,230000.0,Hyundai,Accent RB,Shibin el Kom,2024-02-12,Manual,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/Accent-RB/6267284,2012.0,13.1421679654829,14.0,16428.571428571428,brand Hyundai model Accent RB name Hyundai Accent RB 2012 location Shibin el Kom color Bronze transmission Manual
Kia Cerato 2013,685000.0,Brown,200000.0,Kia,Cerato,Beheira,2024-02-12,Manual,No,No,No,https://eg.hatla2ee.com/en/car/kia/cerato/6267257,2013.0,13.437175577097312,13.0,15384.615384615385,brand Kia model Cerato name Kia Cerato 2013 location Beheira color Brown transmission Manual
Tesla Model 3 2022,3750000.0,Red,38000.0,Tesla,Model 3,Mohandessin,2024-02-12,Automatic,No,No,No,https://eg.hatla2ee.com/en/car/tesla/Model-3/6267245,2022.0,15.137266664613225,4.0,9500.0,brand Tesla model Model 3 name Tesla Model 3 2022 location Mohandessin color Red transmission Automatic
Renault Logan 2016,475000.0,Gold,104000.0,Renault,Logan,Alexandria,2024-02-12,Automatic,Yes,No,No,https://eg.hatla2ee.com/en/car/renault/logan/6267168,2016.0,13.07107218827772,10.0,10400.0,brand Renault model Logan name Renault Logan 2016 location Alexandria color Gold transmission Automatic
Renault Sandero 2014,400000.0,Red,140000.0,Renault,Sandero,Suez,2024-02-12,Manual,No,No,No,https://eg.hatla2ee.com/en/car/renault/sandero/6267189,2014.0,12.899222326086994,12.0,11666.666666666666,brand Renault model Sandero name Renault Sandero 2014 location Suez color Red transmission Manual
Toyota Corolla 2013,850000.0,Black,137000.0,Toyota,Corolla,Warraq,2024-02-12,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/toyota/corolla/6267083,2013.0,13.652992804936396,13.0,10538.461538461539,brand Toyota model Corolla name Toyota Corolla 2013 location Warraq color Black transmission Automatic
Renault Logan 2011,400000.0,Petroleum,175000.0,Renault,Logan,Al Shorouk,2024-02-12,Manual,No,No,No,https://eg.hatla2ee.com/en/car/renault/logan/6267057,2011.0,12.899222326086994,15.0,11666.666666666666,brand Renault model Logan name Renault Logan 2011 location Al Shorouk color Petroleum transmission Manual
Renault Logan 2011,400000.0,Petroleum,175000.0,Renault,Logan,Al Shorouk,2024-02-12,Manual,No,No,No,https://eg.hatla2ee.com/en/car/renault/logan/6267077,2011.0,12.899222326086994,15.0,11666.666666666666,brand Renault model Logan name Renault Logan 2011 location Al Shorouk color Petroleum transmission Manual
Citroën C Elysee 2020,775000.0,Blue,110000.0,Citroën,C Elysee,6 October,2024-02-12,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/citroen/c-elysee/6267090,2020.0,13.560619598657233,6.0,18333.333333333332,brand Citroën model C Elysee name Citroën C Elysee 2020 location 6 October color Blue transmission Automatic
Chevrolet Cruze 2017,760000.0,Silver,150000.0,Chevrolet,Cruze,El Qanater El Khayreya,2024-02-11,Manual,No,No,No,https://eg.hatla2ee.com/en/car/chevrolet/cruze/6266997,2017.0,13.541075028051122,9.0,16666.666666666668,brand Chevrolet model Cruze name Chevrolet Cruze 2017 location El Qanater El Khayreya color Silver transmission Manual
Hyundai Elantra 2005,395000.0,Gold,298000.0,Hyundai,Elantra,Alexandria,2024-02-11,Manual,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/elantra/6266952,2005.0,12.886643575525625,21.0,14190.47619047619,brand Hyundai model Elantra name Hyundai Elantra 2005 location Alexandria color Gold transmission Manual
Hyundai Accent 2006,110000.0,Silver,,Hyundai,Accent,Kafr el-Sheikh,2024-02-11,Manual,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/accent/6266981,2006.0,11.608244735642321,20.0,,brand Hyundai model Accent name Hyundai Accent 2006 location Kafr el-Sheikh color Silver transmission Manual
Chery Tiggo 3 2022,900000.0,White,59000.0,Chery,Tiggo 3,Al Shorouk,2024-02-11,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chery/Tiggo3/6266918,2022.0,13.710151153416941,4.0,14750.0,brand Chery model Tiggo 3 name Chery Tiggo 3 2022 location Al Shorouk color White transmission Automatic
Ford Visto 2019,720000.0,Red,100000.0,Ford,Visto,Obour City,2024-02-11,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/ford/visto/6266948,2019.0,13.487007879880162,7.0,14285.714285714286,brand Ford model Visto name Ford Visto 2019 location Obour City color Red transmission Automatic
Geely Emgrand 7 2015,350000.0,Silver,147000.0,Geely,Emgrand 7,Dakahlia,2024-02-11,Manual,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/geely/emgrand7/6266994,2015.0,12.765691290604371,11.0,13363.636363636364,brand Geely model Emgrand 7 name Geely Emgrand 7 2015 location Dakahlia color Silver transmission Manual
